================================================================================
RELATÓRIO DE SEPARAÇÃO DE DATASET
================================================================================
Data/Hora: 2026-02-13 16:38:13

RESUMO GERAL
  ✓ 20260101_071015_baia17_IPC2.jpg
  ✓ 20260101_071210_baia21_IPC2.jpg
  ✓ 20260101_072214_baia14_IPC3.jpg
  ✓ 20260101_072620_baia14_IPC3.jpg
  ✓ 20260101_141103_baia24_VIPWX.jpg
  ✓ 20260101_141304_baia24_VIPWX.jpg
  ✓ 20260101_142503_baia23_VIPWX.jpg
  ✓ 20260101_142511_baia20_IPC2.jpg
  ✓ 20260101_142604_baia23_VIPWX.jpg
  ✓ 20260101_142713_baia20_IPC2.jpg
  ✓ 20260101_142716_baia13_IPC3.jpg
  ✓ 20260101_142804_baia23_VIPWX.jpg
  ✓ 20260101_143108_baia16_IPC1.jpg
  ✓ 20260101_143215_baia23_VIPWX.jpg
  ✓ 20260101_143218_baia16_IPC1.jpg
  ✓ 20260101_143309_baia22_VIPWX.jpg
  ✓ 20260101_143309_baia23_VIPWX.jpg
  ✓ 20260101_143312_baia16_IPC1.jpg
  ✓ 20260101_143404_baia22_VIPWX.jpg
  ✓ 20260101_143411_baia20_IPC2.jpg
  ✓ 20260101_143414_baia13_IPC3.jpg
  ✓ 20260101_143512_baia20_IPC2.jpg
  ✓ 20260101_144109_baia16_IPC1.jpg
  ✓ 20260101_144916_baia20_IPC2.jpg
  ✓ 20260101_145112_baia20_IPC2.jpg
  ✓ 20260101_145116_baia14_IPC3.jpg
  ✓ 20260101_150314_baia20_IPC2.jpg
  ✓ 20260101_212704_baia23_VIPWX.jpg
  ✓ 20260101_213803_baia23_VIPWX.jpg
  ✓ 20260101_213813_baia15_IPC3.jpg
  ✓ 20260101_214004_baia23_VIPWX.jpg
  ✓ 20260101_214014_baia14_IPC3.jpg
  ✓ 20260101_214014_baia15_IPC3.jpg
  ✓ 20260101_214219_baia14_IPC3.jpg
  ✓ 20260101_214219_baia15_IPC3.jpg
  ✓ 20260101_214307_baia17_IPC1.jpg
  ✓ 20260101_214314_baia14_IPC3.jpg
  ✓ 20260101_214406_baia23_VIPWX.jpg
  ✓ 20260101_215004_baia23_VIPWX.jpg
  ✓ 20260101_215014_baia14_IPC3.jpg
  ✓ 20260101_215014_baia15_IPC3.jpg
  ✓ 20260101_215508_baia17_IPC1.jpg
  ✓ 20260101_215711_baia19_IPC2.jpg
  ✓ 20260101_220011_baia18_IPC2.jpg
  ✓ 20260101_220011_baia19_IPC2.jpg
  ✓ 20260101_220207_baia18_IPC1.jpg
  ✓ 20260101_220313_baia19_IPC2.jpg
  ✓ 20260101_220705_baia24_VIPWX.jpg
  ✓ 20260101_220904_baia24_VIPWX.jpg
  ✓ 20260101_221304_baia24_VIPWX.jpg
  ✓ 20260101_221315_baia15_IPC3.jpg
  ✓ 20260101_221515_baia15_IPC3.jpg
  ✓ 20260101_222118_baia13_IPC3.jpg
  ✓ 20260101_222214_baia13_IPC3.jpg
  ✓ 20260101_222815_baia13_IPC3.jpg
  ✓ 20260102_061204_baia23_VIPWX.jpg
  ✓ 20260102_061504_baia23_VIPWX.jpg
  ✓ 20260102_062920_baia14_IPC3.jpg
  ✓ 20260102_063115_baia19_IPC2.jpg
  ✓ 20260102_063115_baia20_IPC2.jpg
  ✓ 20260102_063119_baia14_IPC3.jpg
  ✓ 20260102_063310_baia19_IPC2.jpg
  ✓ 20260102_063314_baia14_IPC3.jpg
  ✓ 20260102_063410_baia19_IPC2.jpg
  ✓ 20260102_063516_baia14_IPC3.jpg
  ✓ 20260102_063615_baia14_IPC3.jpg
  ✓ 20260102_063814_baia14_IPC3.jpg
  ✓ 20260102_063912_baia19_IPC2.jpg
  ✓ 20260102_071110_baia20_IPC2.jpg
  ✓ 20260102_140507_baia23_VIPWX.jpg
  ✓ 20260102_142216_baia20_IPC2.jpg
  ✓ 20260102_142405_baia23_VIPWX.jpg
  ✓ 20260102_142606_baia23_VIPWX.jpg
  ✓ 20260102_142810_baia23_IPC2.jpg
  ✓ 20260102_142813_baia13_IPC3.jpg
  ✓ 20260102_143104_baia23_VIPWX.jpg
  ✓ 20260102_143606_baia23_VIPWX.jpg
  ✓ 20260102_144011_baia19_IPC2.jpg
  ✓ 20260102_144014_baia13_IPC3.jpg
  ✓ 20260102_144114_baia13_IPC3.jpg
  ✓ 20260102_144214_baia19_IPC2.jpg
  ✓ 20260102_144513_baia19_IPC2.jpg
  ✓ 20260102_145211_baia20_IPC2.jpg
  ✓ 20260102_145412_baia20_IPC2.jpg
  ✓ 20260102_212909_baia23_VIPWX.jpg
  ✓ 20260102_213004_baia23_VIPWX.jpg
  ✓ 20260102_213803_baia23_VIPWX.jpg
  ✓ 20260102_213903_baia23_VIPWX.jpg
  ✓ 20260102_214004_baia23_VIPWX.jpg
  ✓ 20260102_214011_baia19_IPC2.jpg
  ✓ 20260102_214318_baia23_VIPWX.jpg
  ✓ 20260102_214404_baia23_VIPWX.jpg
  ✓ 20260102_214503_baia23_VIPWX.jpg
  ✓ 20260102_214510_baia19_IPC2.jpg
  ✓ 20260102_214704_baia23_VIPWX.jpg
  ✓ 20260102_214707_baia17_IPC1.jpg
  ✓ 20260102_214804_baia23_VIPWX.jpg
  ✓ 20260102_214906_baia23_VIPWX.jpg
  ✓ 20260102_214913_baia19_IPC2.jpg
  ✓ 20260102_215005_baia23_VIPWX.jpg
  ✓ 20260102_215009_baia17_IPC1.jpg
  ✓ 20260102_215104_baia23_VIPWX.jpg
  ✓ 20260102_215107_baia17_IPC1.jpg
  ✓ 20260102_215110_baia19_IPC2.jpg
  ✓ 20260102_215214_baia23_VIPWX.jpg
  ✓ 20260102_215224_baia15_IPC3.jpg
  ✓ 20260102_215309_baia23_VIPWX.jpg
  ✓ 20260102_215415_baia23_VIPWX.jpg
  ✓ 20260102_215419_baia17_IPC1.jpg
  ✓ 20260102_215504_baia23_VIPWX.jpg
  ✓ 20260102_220004_baia22_VIPWX.jpg
  ✓ 20260102_220014_baia14_IPC3.jpg
  ✓ 20260102_220014_baia15_IPC3.jpg
  ✓ 20260102_220108_baia24_VIPWX.jpg
  ✓ 20260102_220220_baia14_IPC3.jpg
  ✓ 20260102_220305_baia22_VIPWX.jpg
  ✓ 20260102_220312_baia20_IPC2.jpg
  ✓ 20260102_220315_baia15_IPC3.jpg
  ✓ 20260102_220504_baia24_VIPWX.jpg
  ✓ 20260102_220614_baia15_IPC3.jpg
  ✓ 20260102_220705_baia22_VIPWX.jpg
  ✓ 20260102_220804_baia22_VIPWX.jpg
  ✓ 20260102_220814_baia14_IPC3.jpg
  ✓ 20260102_221015_baia15_IPC3.jpg
  ✓ 20260102_221604_baia22_VIPWX.jpg
  ✓ 20260102_221604_baia23_VIPWX.jpg
  ✓ 20260102_221814_baia14_IPC3.jpg
  ✓ 20260102_222304_baia22_VIPWX.jpg
  ✓ 20260102_222314_baia13_IPC3.jpg
  ✓ 20260102_223114_baia13_IPC3.jpg
  ✓ 20260103_063609_baia24_VIPWX.jpg
  ✓ 20260103_063612_baia17_IPC1.jpg
  ✓ 20260103_063619_baia21_IPC3.jpg
  ✓ 20260103_063704_baia23_VIPWX.jpg
  ✓ 20260103_064008_baia24_VIPWX.jpg
  ✓ 20260103_064103_baia24_VIPWX.jpg
  ✓ 20260103_064306_baia23_VIPWX.jpg
  ✓ 20260103_064411_baia21_IPC2.jpg
  ✓ 20260103_065008_baia18_IPC1.jpg
  ✓ 20260103_065607_baia18_IPC1.jpg
  ✓ 20260103_065917_baia18_IPC1.jpg
  ✓ 20260103_070107_baia18_IPC1.jpg
  ✓ 20260103_070111_baia20_IPC2.jpg
  ✓ 20260103_070717_baia14_IPC3.jpg
  ✓ 20260103_070808_baia23_VIPWX.jpg
  ✓ 20260103_070911_baia22_VIPWX.jpg
  ✓ 20260103_071114_baia14_IPC3.jpg
  ✓ 20260103_071215_baia23_VIPWX.jpg
  ✓ 20260103_071304_baia22_VIPWX.jpg
  ✓ 20260103_071504_baia23_VIPWX.jpg
  ✓ 20260103_071514_baia14_IPC3.jpg
  ✓ 20260103_141204_baia22_VIPWX.jpg
  ✓ 20260103_141204_baia23_VIPWX.jpg
  ✓ 20260103_141303_baia23_VIPWX.jpg
  ✓ 20260103_141303_baia24_VIPWX.jpg
  ✓ 20260103_141404_baia23_VIPWX.jpg
  ✓ 20260103_141404_baia24_VIPWX.jpg
  ✓ 20260103_141407_baia17_IPC1.jpg
  ✓ 20260103_141414_baia14_IPC3.jpg
  ✓ 20260103_141504_baia23_VIPWX.jpg
  ✓ 20260103_141604_baia23_VIPWX.jpg
  ✓ 20260103_141704_baia23_VIPWX.jpg
  ✓ 20260103_141715_baia14_IPC3.jpg
  ✓ 20260103_141804_baia23_VIPWX.jpg
  ✓ 20260103_141910_baia23_VIPWX.jpg
  ✓ 20260103_142003_baia14_VIPWX.jpg
  ✓ 20260103_142210_baia22_VIPWX.jpg
  ✓ 20260103_142210_baia23_VIPWX.jpg
  ✓ 20260103_142304_baia23_VIPWX.jpg
  ✓ 20260103_142304_baia24_VIPWX.jpg
  ✓ 20260103_142308_baia17_IPC1.jpg
  ✓ 20260103_142315_baia14_IPC3.jpg
  ✓ 20260103_142404_baia23_VIPWX.jpg
  ✓ 20260103_142503_baia22_VIPWX.jpg
  ✓ 20260103_142514_baia14_IPC3.jpg
  ✓ 20260103_143613_baia14_IPC3.jpg
  ✓ 20260103_143915_baia14_IPC3.jpg
  ✓ 20260103_144614_baia14_IPC3.jpg
  ✓ 20260103_144803_baia22_VIPWX.jpg
  ✓ 20260103_144803_baia23_VIPWX.jpg
  ✓ 20260103_145014_baia14_IPC3.jpg
  ✓ 20260103_145107_baia18_IPC1.jpg
  ✓ 20260103_145204_baia22_VIPWX.jpg
  ✓ 20260103_145304_baia22_VIPWX.jpg
  ✓ 20260103_145304_baia23_VIPWX.jpg
  ✓ 20260103_145504_baia23_VIPWX.jpg
  ✓ 20260103_145612_baia22_VIPWX.jpg
  ✓ 20260103_150119_baia14_IPC3.jpg
  ✓ 20260103_150413_baia15_IPC3.jpg
  ✓ 20260103_211509_baia21_VIPWX.jpg
  ✓ 20260103_211718_baia21_VIPWX.jpg
  ✓ 20260103_212005_baia21_VIPWX.jpg
  ✓ 20260103_212107_baia21_VIPWX.jpg
  ✓ 20260103_212414_baia21_VIPWX.jpg
  ✓ 20260103_213304_baia23_VIPWX.jpg
  ✓ 20260103_213507_baia23_VIPWX.jpg
  ✓ 20260103_213715_baia15_IPC3.jpg
  ✓ 20260103_215208_baia22_VIPWX.jpg
  ✓ 20260103_215511_baia18_IPC2.jpg
  ✓ 20260103_215608_baia18_IPC1.jpg
  ✓ 20260103_220108_baia18_IPC1.jpg
  ✓ 20260103_220509_baia17_IPC1.jpg
  ✓ 20260103_221123_baia13_IPC3.jpg
  ✓ 20260103_221918_baia13_IPC3.jpg
  ✓ 20260105_062911_baia21_IPC2.jpg
  ✓ 20260105_063217_baia21_IPC2.jpg
  ✓ 20260105_063612_baia21_IPC2.jpg
  ✓ 20260105_063711_baia21_IPC2.jpg
  ✓ 20260105_063810_baia21_IPC2.jpg
  ✓ 20260105_064010_baia21_IPC2.jpg
  ✓ 20260105_142605_baia23_VIPWX.jpg
  ✓ 20260106_062144_baia13_IPC3.jpg
  ✓ 20260106_062240_baia13_IPC3.jpg
  ✓ 20260106_062334_baia13_IPC1.jpg
  ✓ 20260106_062826_baia13_IPC1.jpg
  ✓ 20260106_062926_baia13_IPC1.jpg
  ✓ 20260106_063004_baia22_VIPWX.jpg
  ✓ 20260106_063026_baia13_IPC1.jpg
  ✓ 20260106_063203_baia22_VIPWX.jpg
  ✓ 20260106_063436_baia13_IPC3.jpg
  ✓ 20260106_064306_baia23_VIPWX.jpg
  ✓ 20260106_064606_baia23_VIPWX.jpg
  ✓ 20260106_064715_baia23_VIPWX.jpg
  ✓ 20260106_065104_baia23_VIPWX.jpg
  ✓ 20260106_065203_baia23_VIPWX.jpg
  ✓ 20260106_065708_baia22_VIPWX.jpg
  ✓ 20260106_070105_baia22_VIPWX.jpg
  ✓ 20260106_070205_baia23_VIPWX.jpg
  ✓ 20260106_070305_baia23_VIPWX.jpg
  ✓ 20260106_070404_baia24_VIPWX.jpg
  ✓ 20260106_071329_baia14_IPC3.jpg
  ✓ 20260106_071422_baia15_IPC1.jpg
  ✓ 20260106_071429_baia14_IPC3.jpg
  ✓ 20260106_071824_baia15_IPC1.jpg
  ✓ 20260106_071831_baia13_IPC3.jpg
  ✓ 20260106_072040_baia14_IPC3.jpg
  ✓ 20260106_143313_baia21_IPC2.jpg
  ✓ 20260106_143611_baia21_IPC2.jpg
  ✓ 20260106_143811_baia21_IPC2.jpg
  ✓ 20260106_144503_baia23_VIPWX.jpg
  ✓ 20260106_144617_baia21_IPC2.jpg
  ✓ 20260106_144714_baia21_IPC2.jpg
  ✓ 20260106_144718_baia13_IPC3.jpg
  ✓ 20260106_145017_baia21_IPC2.jpg
  ✓ 20260106_145421_baia21_IPC2.jpg
  ✓ 20260106_145514_baia13_IPC3.jpg
  ✓ 20260106_145614_baia15_IPC3.jpg
  ✓ 20260106_150114_baia14_IPC3.jpg
  ✓ 20260106_150322_baia14_IPC3.jpg
  ✓ 20260106_150414_baia14_IPC3.jpg
  ✓ 20260106_150514_baia14_IPC3.jpg
  ✓ 20260106_150607_baia15_IPC1.jpg
  ✓ 20260106_150614_baia14_IPC3.jpg
  ✓ 20260106_150717_baia14_IPC3.jpg
  ✓ 20260106_212109_baia18_IPC1.jpg
  ✓ 20260106_212211_baia18_IPC1.jpg
  ✓ 20260106_212310_baia18_IPC1.jpg
  ✓ 20260106_212519_baia18_IPC1.jpg
  ✓ 20260106_212607_baia18_IPC1.jpg
  ✓ 20260106_212707_baia18_IPC1.jpg
  ✓ 20260106_212806_baia18_IPC1.jpg
  ✓ 20260106_214914_baia15_IPC3.jpg
  ✓ 20260106_215914_baia15_IPC3.jpg
  ✓ 20260106_220304_baia23_VIPWX.jpg
  ✓ 20260106_220308_baia17_IPC1.jpg
  ✓ 20260106_220405_baia22_VIPWX.jpg
  ✓ 20260106_220408_baia17_IPC1.jpg
  ✓ 20260106_220411_baia21_IPC2.jpg
  ✓ 20260106_220415_baia15_IPC3.jpg
  ✓ 20260106_220609_baia22_VIPWX.jpg
  ✓ 20260106_220704_baia22_VIPWX.jpg
  ✓ 20260106_220715_baia15_IPC3.jpg
  ✓ 20260106_220816_baia23_VIPWX.jpg
  ✓ 20260106_220905_baia22_VIPWX.jpg
  ✓ 20260106_221007_baia17_IPC1.jpg
  ✓ 20260106_221104_baia22_VIPWX.jpg
  ✓ 20260106_221104_baia23_VIPWX.jpg
  ✓ 20260106_221214_baia15_IPC3.jpg
  ✓ 20260106_221814_baia13_IPC3.jpg
  ✓ 20260106_222104_baia21_VIPWX.jpg
  ✓ 20260106_222204_baia23_VIPWX.jpg
  ✓ 20260107_061903_baia23_VIPWX.jpg
  ✓ 20260107_062003_baia23_VIPWX.jpg
  ✓ 20260107_062513_baia23_VIPWX.jpg
  ✓ 20260107_062612_baia23_VIPWX.jpg
  ✓ 20260107_062612_baia24_VIPWX.jpg
  ✓ 20260107_062705_baia23_VIPWX.jpg
  ✓ 20260107_063003_baia23_VIPWX.jpg
  ✓ 20260107_063617_baia24_VIPWX.jpg
  ✓ 20260107_063624_baia20_IPC2.jpg
  ✓ 20260107_063807_baia16_IPC1.jpg
  ✓ 20260107_063811_baia19_IPC2.jpg
  ✓ 20260107_063904_baia24_VIPWX.jpg
  ✓ 20260107_064310_baia19_IPC2.jpg
  ✓ 20260107_064310_baia20_IPC2.jpg
  ✓ 20260107_064407_baia24_VIPWX.jpg
  ✓ 20260107_064414_baia19_IPC2.jpg
  ✓ 20260107_064509_baia24_VIPWX.jpg
  ✓ 20260107_064516_baia20_IPC2.jpg
  ✓ 20260107_064812_baia24_VIPWX.jpg
  ✓ 20260107_064911_baia16_IPC1.jpg
  ✓ 20260107_064915_baia20_IPC2.jpg
  ✓ 20260107_065204_baia24_VIPWX.jpg
  ✓ 20260107_065211_baia20_IPC2.jpg
  ✓ 20260107_065915_baia16_IPC1.jpg
  ✓ 20260107_070113_baia16_IPC1.jpg
  ✓ 20260107_070116_baia21_IPC2.jpg
  ✓ 20260107_070208_baia16_IPC1.jpg
  ✓ 20260107_070807_baia16_IPC1.jpg
  ✓ 20260107_070810_baia21_IPC2.jpg
  ✓ 20260107_070909_baia16_IPC1.jpg
  ✓ 20260107_071010_baia21_IPC2.jpg
  ✓ 20260107_071113_baia21_IPC2.jpg
  ✓ 20260107_071804_baia22_VIPWX.jpg
  ✓ 20260107_071909_baia17_IPC1.jpg
  ✓ 20260107_072303_baia21_VIPWX.jpg
  ✓ 20260107_072303_baia22_VIPWX.jpg
  ✓ 20260107_072307_baia17_IPC1.jpg
  ✓ 20260107_140507_baia19_VIPWX.jpg
  ✓ 20260107_141915_baia14_IPC3.jpg
  ✓ 20260107_142207_baia18_IPC1.jpg
  ✓ 20260107_142214_baia14_IPC3.jpg
  ✓ 20260107_142316_baia14_IPC3.jpg
  ✓ 20260107_142507_baia18_IPC1.jpg
  ✓ 20260107_142614_baia14_IPC3.jpg
  ✓ 20260107_142726_baia14_IPC3.jpg
  ✓ 20260107_142910_baia18_IPC1.jpg
  ✓ 20260107_143007_baia18_IPC1.jpg
  ✓ 20260107_143014_baia13_IPC3.jpg
  ✓ 20260107_143014_baia14_IPC3.jpg
  ✓ 20260107_145308_baia17_IPC1.jpg
  ✓ 20260107_145314_baia14_IPC3.jpg
  ✓ 20260107_145314_baia15_IPC3.jpg
  ✓ 20260107_145514_baia14_IPC3.jpg
  ✓ 20260107_145714_baia14_IPC3.jpg
  ✓ 20260107_150114_baia14_IPC3.jpg
  ✓ 20260107_150114_baia15_IPC3.jpg
  ✓ 20260107_150904_baia22_VIPWX.jpg
  ✓ 20260107_151015_baia21_VIPWX.jpg
  ✓ 20260107_151019_baia17_IPC1.jpg
  ✓ 20260107_151026_baia13_IPC3.jpg
  ✓ 20260107_151113_baia13_IPC3.jpg
  ✓ 20260107_151203_baia22_VIPWX.jpg
  ✓ 20260107_151307_baia17_IPC1.jpg
  ✓ 20260107_151417_baia13_IPC3.jpg
  ✓ 20260107_213406_baia23_VIPWX.jpg
  ✓ 20260107_213509_baia18_IPC1.jpg
  ✓ 20260107_213608_baia23_VIPWX.jpg
  ✓ 20260107_213713_baia23_VIPWX.jpg
  ✓ 20260107_213720_baia19_IPC2.jpg
  ✓ 20260107_213804_baia23_VIPWX.jpg
  ✓ 20260107_213903_baia23_VIPWX.jpg
  ✓ 20260107_213907_baia18_IPC1.jpg
  ✓ 20260107_214004_baia23_VIPWX.jpg
  ✓ 20260107_214011_baia19_IPC2.jpg
  ✓ 20260107_214104_baia23_VIPWX.jpg
  ✓ 20260107_214107_baia18_IPC1.jpg
  ✓ 20260107_214207_baia18_IPC1.jpg
  ✓ 20260107_214211_baia19_IPC2.jpg
  ✓ 20260107_214607_baia23_VIPWX.jpg
  ✓ 20260107_214818_baia19_IPC2.jpg
  ✓ 20260107_214903_baia23_VIPWX.jpg
  ✓ 20260107_214903_baia24_VIPWX.jpg
  ✓ 20260107_214910_baia19_IPC2.jpg
  ✓ 20260107_215214_baia19_IPC2.jpg
  ✓ 20260107_215505_baia24_VIPWX.jpg
  ✓ 20260107_215614_baia19_IPC2.jpg
  ✓ 20260107_220404_baia23_VIPWX.jpg
  ✓ 20260107_220515_baia14_IPC3.jpg
  ✓ 20260107_220617_baia14_IPC3.jpg
  ✓ 20260107_221003_baia23_VIPWX.jpg
  ✓ 20260107_221014_baia14_IPC3.jpg
  ✓ 20260107_221812_baia18_IPC1.jpg
  ✓ 20260107_221916_baia22_VIPWX.jpg
  ✓ 20260107_222104_baia22_VIPWX.jpg
  ✓ 20260107_222207_baia16_IPC1.jpg
  ✓ 20260107_222413_baia16_IPC1.jpg
  ✓ 20260107_222413_baia18_IPC1.jpg
  ✓ 20260107_222503_baia22_VIPWX.jpg
  ✓ 20260108_063612_baia19_IPC2.jpg
  ✓ 20260108_063915_baia15_IPC3.jpg
  ✓ 20260108_064114_baia15_IPC3.jpg
  ✓ 20260108_064314_baia15_IPC3.jpg
  ✓ 20260108_065303_baia23_VIPWX.jpg
  ✓ 20260108_065303_baia24_VIPWX.jpg
  ✓ 20260108_065310_baia21_IPC2.jpg
  ✓ 20260108_065313_baia13_IPC3.jpg
  ✓ 20260108_065313_baia15_IPC3.jpg
  ✓ 20260108_065407_baia17_IPC1.jpg
  ✓ 20260108_065504_baia24_VIPWX.jpg
  ✓ 20260108_065514_baia14_IPC3.jpg
  ✓ 20260108_065514_baia15_IPC3.jpg
  ✓ 20260108_065604_baia24_VIPWX.jpg
  ✓ 20260108_065611_baia21_IPC2.jpg
  ✓ 20260108_065813_baia13_IPC3.jpg
  ✓ 20260108_065910_baia23_VIPWX.jpg
  ✓ 20260108_065917_baia21_IPC2.jpg
  ✓ 20260108_070011_baia21_IPC2.jpg
  ✓ 20260108_070103_baia24_VIPWX.jpg
  ✓ 20260108_070111_baia21_IPC2.jpg
  ✓ 20260108_070207_baia16_IPC1.jpg
  ✓ 20260108_070214_baia13_IPC3.jpg
  ✓ 20260108_070214_baia14_IPC3.jpg
  ✓ 20260108_070404_baia24_VIPWX.jpg
  ✓ 20260108_070506_baia23_VIPWX.jpg
  ✓ 20260108_070513_baia21_IPC2.jpg
  ✓ 20260108_071507_baia17_IPC1.jpg
  ✓ 20260108_071510_baia21_IPC2.jpg
  ✓ 20260108_071611_baia21_IPC2.jpg
  ✓ 20260108_071707_baia17_IPC1.jpg
  ✓ 20260108_071711_baia21_IPC2.jpg
  ✓ 20260108_072812_baia15_IPC1.jpg
  ✓ 20260108_073007_baia15_IPC1.jpg
  ✓ 20260108_073111_baia18_IPC2.jpg
  ✓ 20260108_073310_baia23_VIPWX.jpg
  ✓ 20260108_141611_baia19_IPC2.jpg
  ✓ 20260108_141614_baia15_IPC3.jpg
  ✓ 20260108_141804_baia23_VIPWX.jpg
  ✓ 20260108_141810_baia19_IPC2.jpg
  ✓ 20260108_141914_baia15_IPC3.jpg
  ✓ 20260108_142016_baia15_IPC3.jpg
  ✓ 20260108_142217_baia15_IPC3.jpg
  ✓ 20260108_142310_baia23_VIPWX.jpg
  ✓ 20260108_142321_baia15_IPC3.jpg
  ✓ 20260108_143511_baia20_IPC2.jpg
  ✓ 20260108_143810_baia20_IPC2.jpg
  ✓ 20260108_144804_baia23_VIPWX.jpg
  ✓ 20260108_145406_baia24_VIPWX.jpg
  ✓ 20260108_150104_baia21_VIPWX.jpg
  ✓ 20260108_150507_baia21_VIPWX.jpg
  ✓ 20260108_150604_baia21_VIPWX.jpg
  ✓ 20260108_150604_baia23_VIPWX.jpg
  ✓ 20260108_150811_baia21_VIPWX.jpg
  ✓ 20260108_150913_baia23_VIPWX.jpg
  ✓ 20260108_211605_baia23_VIPWX.jpg
  ✓ 20260108_211704_baia23_VIPWX.jpg
  ✓ 20260108_212111_baia23_VIPWX.jpg
  ✓ 20260108_212203_baia23_VIPWX.jpg
  ✓ 20260108_213506_baia24_VIPWX.jpg
  ✓ 20260108_214019_baia14_IPC2.jpg
  ✓ 20260108_215311_baia19_IPC2.jpg
  ✓ 20260108_215507_baia24_VIPWX.jpg
  ✓ 20260108_220004_baia17_VIPWX.jpg
  ✓ 20260108_220007_baia18_IPC1.jpg
  ✓ 20260108_220104_baia17_VIPWX.jpg
  ✓ 20260108_220418_baia18_IPC3.jpg
  ✓ 20260108_220615_baia17_VIPWX.jpg
  ✓ 20260108_220625_baia13_IPC3.jpg
  ✓ 20260108_220907_baia18_IPC1.jpg
  ✓ 20260108_221107_baia16_IPC1.jpg
  ✓ 20260108_221114_baia13_IPC3.jpg
  ✓ 20260108_221320_baia13_IPC3.jpg
  ✓ 20260108_221320_baia17_IPC3.jpg
  ✓ 20260108_221416_baia21_IPC2.jpg
  ✓ 20260108_221509_baia16_IPC1.jpg
  ✓ 20260108_221621_baia16_IPC1.jpg
  ✓ 20260108_221708_baia16_IPC1.jpg
  ✓ 20260108_221712_baia21_IPC2.jpg
  ✓ 20260108_221814_baia14_IPC3.jpg
  ✓ 20260108_221908_baia16_IPC1.jpg
  ✓ 20260108_221911_baia21_IPC2.jpg
  ✓ 20260109_062407_baia22_VIPWX.jpg
  ✓ 20260109_062503_baia22_VIPWX.jpg
  ✓ 20260109_062811_baia19_IPC2.jpg
  ✓ 20260109_063214_baia13_IPC3.jpg
  ✓ 20260109_063303_baia22_VIPWX.jpg
  ✓ 20260109_063504_baia22_VIPWX.jpg
  ✓ 20260109_063604_baia22_VIPWX.jpg
  ✓ 20260109_064104_baia23_VIPWX.jpg
  ✓ 20260109_064104_baia24_VIPWX.jpg
  ✓ 20260109_064107_baia18_IPC1.jpg
  ✓ 20260109_064207_baia18_IPC1.jpg
  ✓ 20260109_064303_baia23_VIPWX.jpg
  ✓ 20260109_064303_baia24_VIPWX.jpg
  ✓ 20260109_064307_baia16_IPC1.jpg
  ✓ 20260109_064307_baia18_IPC1.jpg
  ✓ 20260109_064310_baia20_IPC2.jpg
  ✓ 20260109_064313_baia14_IPC3.jpg
  ✓ 20260109_064603_baia24_VIPWX.jpg
  ✓ 20260109_064610_baia20_IPC2.jpg
  ✓ 20260109_064709_baia24_VIPWX.jpg
